City,Country,Venue,Opening act(s),Attendance,Revenue,Tour
N/A,Argentina,N/A,N/A,240000,N/A,Dangerous
N/A,Australia,N/A,N/A,162000,N/A,Bad
N/A,Australia,N/A,N/A,346000,N/A,History
N/A,Austria,N/A,N/A,95000,N/A,Bad
N/A,Austria,N/A,N/A,50000,N/A,Dangerous
N/A,Austria,N/A,N/A,50000,N/A,History
N/A,Belgium,N/A,N/A,55000,N/A,Bad
N/A,Belgium,N/A,N/A,60000,N/A,Dangerous
N/A,Belgium,N/A,N/A,55000,N/A,History
N/A,Brazil,N/A,N/A,210000,N/A,Dangerous
N/A,Brunei,N/A,N/A,4000,N/A,History
N/A,Chile,N/A,N/A,85000,N/A,Dangerous
N/A,Czech Republic,N/A,N/A,125000,N/A,History
N/A,Denmark,N/A,N/A,30000,N/A,Dangerous
N/A,Denmark,N/A,N/A,97563,N/A,History
N/A,England,N/A,N/A,779000,N/A,Bad
N/A,England,N/A,N/A,460000,N/A,Dangerous
N/A,England,N/A,N/A,257601,N/A,History
N/A,Estonia,N/A,N/A,75000,N/A,History
N/A,Finland,N/A,N/A,100000,N/A,History
N/A,France,N/A,N/A,113000,N/A,Bad
N/A,France,N/A,N/A,125000,N/A,Dangerous
N/A,France,N/A,N/A,150003,N/A,History
N/A,Germany,N/A,N/A,404000,N/A,Dangerous
N/A,Germany,N/A,N/A,616483,N/A,History
N/A,Germany,N/A,N/A,400000,N/A,Bad
N/A,Hungary,N/A,N/A,50000,N/A,History
N/A,India,N/A,N/A,70000,N/A,History
N/A,Ireland,N/A,N/A,130000,N/A,Bad
N/A,Ireland,N/A,N/A,43000,N/A,Dangerous
N/A,Ireland,N/A,N/A,40261,N/A,History
N/A,Israel,N/A,N/A,170000,N/A,Dangerous
N/A,Italy,N/A,N/A,140000,N/A,Bad
N/A,Italy,N/A,N/A,86000,N/A,Dangerous
N/A,Italy,N/A,N/A,65000,N/A,History
N/A,Japan,N/A,N/A,660000,52423603,Bad
N/A,Japan,N/A,N/A,430000,N/A,Dangerous
N/A,Japan,N/A,N/A,260000,N/A,History
N/A,Luxembourg,N/A,N/A,45000,N/A,History
N/A,Malaysia,N/A,N/A,80000,N/A,History
N/A,Mexico,N/A,N/A,550000,N/A,Dangerous
N/A,Netherlands,N/A,N/A,145200,N/A,Bad
N/A,Netherlands,N/A,N/A,100000,N/A,Dangerous
N/A,Netherlands,N/A,N/A,250000,N/A,History
N/A,New Zealand,N/A,N/A,86000,N/A,History
N/A,Norway,N/A,N/A,35000,N/A,Dangerous
N/A,Norway,N/A,N/A,45000,N/A,History
N/A,Philippines,N/A,N/A,110000,N/A,History
N/A,Poland,N/A,N/A,120000,N/A,History
N/A,Portugal,N/A,N/A,55000,N/A,Dangerous
N/A,Romania,N/A,N/A,90000,N/A,Dangerous
N/A,Romania,N/A,N/A,70000,N/A,History
N/A,Russia,N/A,N/A,70000,N/A,Dangerous
N/A,Russia,N/A,N/A,50000,N/A,History
N/A,Scotland,N/A,N/A,65000,N/A,Dangerous
N/A,Singapore,N/A,N/A,94000,N/A,Dangerous
N/A,Singapore,N/A,N/A,26000,N/A,History
N/A,South Africa,N/A,N/A,226495,N/A,History
N/A,South Korea,N/A,N/A,100000,N/A,History
N/A,Spain,N/A,N/A,183000,N/A,Bad
N/A,Spain,N/A,N/A,185000,N/A,Dangerous
N/A,Spain,N/A,N/A,65000,N/A,History
N/A,Sweden,N/A,N/A,106000,N/A,Bad
N/A,Sweden,N/A,N/A,106000,N/A,Dangerous
N/A,Sweden,N/A,N/A,50000,N/A,History
N/A,Switzerland,N/A,N/A,95000,N/A,Bad
N/A,Switzerland,N/A,N/A,45000,N/A,Dangerous
N/A,Switzerland,N/A,N/A,90000,N/A,History
N/A,Taiwan,N/A,N/A,80000,N/A,Dangerous
N/A,Taiwan,N/A,N/A,110000,N/A,History
N/A,Thailand,N/A,N/A,140000,N/A,Dangerous
N/A,Thailand,N/A,N/A,40000,N/A,History
N/A,Tunisia,N/A,N/A,60000,N/A,History
N/A,Turkey,N/A,N/A,48000,N/A,Dangerous
N/A,USA,N/A,N/A,918824,N/A,Bad
N/A,USA,N/A,N/A,70000,N/A,History
N/A,Wales,N/A,N/A,55000,N/A,Bad
N/A,Wales,N/A,N/A,50000,N/A,Dangerous
