decade,City/town of birth/origin,count,latitude,longitude
1950s,Cleveland,1,41.4996574,-81.6936772
1960s,Delight,1,34.0314949,-93.502959
1960s,Grand Rapids,1,42.9632425,-85.6678639
1960s,Hoboken,3,40.7433066,-74.0323752
1960s,Juazeiro,1,-9.4336959,-40.5068201
1960s,Liverpool,1,53.4071991,-2.99168
1960s,New York City,1,40.7127281,-74.0060152
1960s,Oak Park,1,41.8878145,-87.7887615
1960s,Philadelphian,1,39.96655845,-75.17789495781295
1960s,Waterville,1,44.5524176,-69.6313607
1970s,Douglas,1,39.7628415,-88.2170516
1970s,Liverpool,1,53.4071991,-2.99168
1970s,London,1,51.5074456,-0.1277653
1970s,New York City,3,40.7127281,-74.0060152
1970s,Newark,1,40.735657,-74.1723667
1970s,Saginaw,3,43.4200387,-83.9490365
1980s,Dublin,1,53.3493795,-6.2605593
1980s,Gary,1,41.6020962,-87.3370646
1980s,Liverpool,1,53.4071991,-2.99168
1980s,London,2,51.5074456,-0.1277653
1980s,New York City,1,40.7127281,-74.0060152
1980s,Newark,1,40.735657,-74.1723667
1980s,Orange,1,33.750631,-117.8722311
1980s,San Antonio,1,29.4246002,-98.4951405
1980s,Tokyo,1,35.6821936,139.762221
1980s,Tuskegee,1,32.4240535,-85.6908715
1990s,Burbank,1,34.1812089,-118.307201
1990s,Charlemagne,1,45.725519649999995,-73.4896922220162
1990s,Chicago,1,41.8755616,-87.6244212
1990s,Duluth,1,46.7729322,-92.1251218
1990s,East Orange,1,40.767323,-74.2048677
1990s,Los Angeles,1,34.0536909,-118.242766
1990s,New York City,1,40.7127281,-74.0060152
1990s,Newark,1,40.735657,-74.1723667
1990s,Ottowa,1,43.595578,-85.324232
1990s,Ripley,1,36.6478735,-90.8887906
2000s,Albany,1,42.6511674,-73.754968
2000s,Annandale-on-Hudson,1,42.0128695,-73.9081901
2000s,Chicago,1,41.8755616,-87.6244212
2000s,Dallas,1,32.7762719,-96.7968559
2000s,Decatur,1,39.8454163,-88.9524151
2000s,Dublin,1,53.3493795,-6.2605593
2000s,East Point,1,33.6795531,-84.4393724
2000s,New York City,1,40.7127281,-74.0060152
2000s,San Francisco,1,37.7792588,-122.4193286
2000s,St Louis,1,38.6280278,-90.1910154
2000s,West Bromwich,1,52.5186579,-1.9923114
2010s,Honolulu,1,21.304547,-157.855676
2010s,London,3,51.5074456,-0.1277653
2010s,Los Angeles,1,34.0536909,-118.242766
2010s,Montreal,1,45.5031824,-73.5698065
2010s,Paris,1,48.8534951,2.3483915
2010s,Reading,2,51.4564242,-0.9700664
